seed,model,region_bucket,auc,f1,n_rows
0,baseline_persistence,Q1,,0.0,24898
0,baseline_persistence,Q2,,0.0,24780
0,baseline_persistence,Q3,,0.0,24780
0,baseline_persistence,Q4,0.9946607982260857,0.9072254966164593,24780
0,logistic_regression,Q1,,0.0,24898
0,logistic_regression,Q2,,0.0,24780
0,logistic_regression,Q3,,0.0,24780
0,logistic_regression,Q4,0.8679599702893527,0.44421768707482995,24780
0,lstm,Q1,,0.0,24898
0,lstm,Q2,,0.0,24780
0,lstm,Q3,,0.0,24780
0,lstm,Q4,0.5651143062707883,0.0,24780
0,random_forest,Q1,,0.0,24898
0,random_forest,Q2,,0.0,24780
0,random_forest,Q3,,0.0,24780
0,random_forest,Q4,0.9965941694808185,0.9298085688240657,24780
1,baseline_persistence,Q1,,0.0,24898
1,baseline_persistence,Q2,,0.0,24780
1,baseline_persistence,Q3,,0.0,24780
1,baseline_persistence,Q4,0.9946607982260857,0.9072254966164593,24780
1,logistic_regression,Q1,,0.0,24898
1,logistic_regression,Q2,,0.0,24780
1,logistic_regression,Q3,,0.0,24780
1,logistic_regression,Q4,0.842474404561874,0.4178484953303355,24780
1,lstm,Q1,,0.0,24898
1,lstm,Q2,,0.0,24780
1,lstm,Q3,,0.0,24780
1,lstm,Q4,0.9091620614184764,0.16574263203968484,24780
1,random_forest,Q1,,0.0,24898
1,random_forest,Q2,,0.0,24780
1,random_forest,Q3,,0.0,24780
1,random_forest,Q4,0.9969122395771925,0.9279854147675477,24780
2,baseline_persistence,Q1,,0.0,24898
2,baseline_persistence,Q2,,0.0,24780
2,baseline_persistence,Q3,,0.0,24780
2,baseline_persistence,Q4,0.9946607982260857,0.9072254966164593,24780
2,logistic_regression,Q1,,0.0,24898
2,logistic_regression,Q2,,0.0,24780
2,logistic_regression,Q3,,0.0,24780
2,logistic_regression,Q4,0.7801977007237213,0.3505228993869456,24780
2,lstm,Q1,,0.0,24898
2,lstm,Q2,,0.0,24780
2,lstm,Q3,,0.0,24780
2,lstm,Q4,0.9901457269191518,0.24202842873607375,24780
2,random_forest,Q1,,0.0,24898
2,random_forest,Q2,,0.0,24780
2,random_forest,Q3,,0.0,24780
2,random_forest,Q4,0.9956574742361182,0.9251324579589957,24780
