seed,domain,model,auc,f1,recall,precision,n_rows
0,chicago_2025,baseline_persistence,0.9369264744301483,0.6938775510204082,0.6967213114754098,0.6910569105691057,1248
0,chicago_2025,logistic_regression,0.9542036770948992,0.7449664429530202,0.9098360655737705,0.6306818181818182,1248
0,chicago_2025,lstm,0.9268663052707203,0.6841186736474695,0.8032786885245902,0.5957446808510638,1248
0,chicago_2025,random_forest,0.9514115668473646,0.7529880478087648,0.7745901639344263,0.7325581395348837,1248
0,nibrs,baseline_persistence,0.9982853363943279,0.9420209828823854,0.9509476031215162,0.9332603938730853,40368
0,nibrs,logistic_regression,0.92624648829149,0.641566265060241,0.47491638795986624,0.988399071925754,40368
0,nibrs,lstm,0.9855922190817485,0.45829823083403537,0.3032329988851728,0.9379310344827586,40368
0,nibrs,random_forest,0.9969075414779636,0.9527027027027029,0.9431438127090301,0.962457337883959,40368
1,chicago_2025,baseline_persistence,0.9369264744301483,0.6938775510204082,0.6967213114754098,0.6910569105691057,1248
1,chicago_2025,logistic_regression,0.9545914701848346,0.7607573149741825,0.9057377049180327,0.655786350148368,1248
1,chicago_2025,lstm,0.917091878388087,0.6761565836298933,0.7786885245901639,0.5974842767295597,1248
1,chicago_2025,random_forest,0.9521708248971329,0.7622789783889979,0.7950819672131147,0.7320754716981132,1248
1,nibrs,baseline_persistence,0.9982853363943279,0.9420209828823854,0.9509476031215162,0.9332603938730853,40368
1,nibrs,logistic_regression,0.848996357541982,0.49202350965575137,0.326644370122631,0.9965986394557823,40368
1,nibrs,lstm,0.8993919078136109,0.31719532554257096,0.5295429208472687,0.22640610104861772,40368
1,nibrs,random_forest,0.996687858014776,0.9506726457399104,0.9453734671125975,0.9560315670800451,40368
2,chicago_2025,baseline_persistence,0.9369264744301483,0.6938775510204082,0.6967213114754098,0.6910569105691057,1248
2,chicago_2025,logistic_regression,0.9542730716478349,0.7620689655172413,0.9057377049180327,0.6577380952380952,1248
2,chicago_2025,lstm,0.9367652341453856,0.7191413237924865,0.8237704918032787,0.638095238095238,1248
2,chicago_2025,random_forest,0.9528361961988113,0.767716535433071,0.7991803278688525,0.7386363636363636,1248
2,nibrs,baseline_persistence,0.9982853363943279,0.9420209828823854,0.9509476031215162,0.9332603938730853,40368
2,nibrs,logistic_regression,0.9020952034920463,0.55,0.3801560758082497,0.9941690962099126,40368
2,nibrs,lstm,0.8828260574413226,0.2770346860122421,0.6811594202898551,0.1738759248719408,40368
2,nibrs,random_forest,0.9968791560471969,0.9490196078431373,0.9442586399108138,0.9538288288288288,40368
