model,domain,metric,mean,std
baseline_persistence,chicago_2025,auc,0.9369264744301483,0.0
baseline_persistence,chicago_2025,f1,0.6938775510204082,0.0
baseline_persistence,chicago_2025,precision,0.6910569105691057,0.0
baseline_persistence,chicago_2025,recall,0.6967213114754097,0.0
baseline_persistence,nibrs,auc,0.9982853363943279,0.0
baseline_persistence,nibrs,f1,0.9420209828823854,0.0
baseline_persistence,nibrs,precision,0.9332603938730853,0.0
baseline_persistence,nibrs,recall,0.9509476031215162,0.0
logistic_regression,chicago_2025,auc,0.9543560729758562,0.00020679164753536293
logistic_regression,chicago_2025,f1,0.7559309078148146,0.009518126079534865
logistic_regression,chicago_2025,precision,0.6480687545227605,0.015089118387659434
logistic_regression,chicago_2025,recall,0.907103825136612,0.0023661896278264097
logistic_regression,nibrs,auc,0.8924460164418395,0.03951867638536788
logistic_regression,nibrs,f1,0.5611965915719974,0.07539749114270546
logistic_regression,nibrs,precision,0.993055602530483,0.0042116657097247085
logistic_regression,nibrs,recall,0.39390561129691565,0.07508618456811424
lstm,chicago_2025,auc,0.926907805934731,0.009836743537225268
lstm,chicago_2025,f1,0.6931388603566164,0.022867986310830212
lstm,chicago_2025,precision,0.6104413985586206,0.023964717383955548
lstm,chicago_2025,recall,0.8019125683060109,0.022572010439697147
lstm,nibrs,auc,0.922603394778894,0.05517518318892258
lstm,nibrs,f1,0.35084274746294947,0.09520099748299142
lstm,nibrs,precision,0.44607102013443906,0.426772257929607
lstm,nibrs,recall,0.5046451133407656,0.190189433494373
random_forest,chicago_2025,auc,0.9521395293144362,0.0007128301041434578
random_forest,chicago_2025,f1,0.7609945205436112,0.007447782280133195
random_forest,chicago_2025,precision,0.7344233249564535,0.003656571242158109
random_forest,chicago_2025,recall,0.7896174863387978,0.013174386285509515
random_forest,nibrs,auc,0.9968248518466455,0.00011948604792053015
random_forest,nibrs,f1,0.9507983187619168,0.0018447607480333948
random_forest,nibrs,precision,0.957439244597611,0.004483186269129519
random_forest,nibrs,recall,0.9442586399108138,0.0011148272017836858
