month,incidents_7d,incidents_3d,posrate_7d,posrate_3d,incident_rank_score,pos_rank_score,risk_score,staffing_tier
2025-06,17103.0,14602.0,0.35,0.32916666666666666,0.9583333333333333,0.9583333333333333,0.9583333333333333,Peak (surge staffing)
2025-07,13621.0,16147.0,0.34375,0.3333333333333333,0.875,0.9583333333333333,0.8999999999999999,Peak (surge staffing)
2025-09,16069.0,13885.0,0.3,0.2833333333333333,0.8333333333333333,0.8125,0.8270833333333333,Peak (surge staffing)
2025-08,12932.0,13904.0,0.2708333333333333,0.2833333333333333,0.75,0.7291666666666666,0.7437499999999999,High (reinforced patrol)
2025-05,12914.0,13614.0,0.28125,0.24583333333333332,0.625,0.6666666666666667,0.6375,High (reinforced patrol)
2025-03,14791.0,12604.0,0.125,0.16666666666666666,0.625,0.4166666666666667,0.5625,High (reinforced patrol)
2025-10,12487.0,13555.0,0.16666666666666666,0.25416666666666665,0.5416666666666667,0.5833333333333333,0.5541666666666667,High (reinforced patrol)
2025-04,12386.0,13103.0,0.23958333333333334,0.2,0.45833333333333337,0.5416666666666667,0.4833333333333334,Moderate (baseline+)
2025-01,11156.0,11944.0,0.10416666666666667,0.10833333333333334,0.29166666666666663,0.29166666666666663,0.29166666666666663,Low (baseline)
2025-11,11063.0,12031.0,0.07291666666666667,0.12083333333333333,0.29166666666666663,0.29166666666666663,0.29166666666666663,Low (baseline)
2025-02,10908.0,11578.0,0.052083333333333336,0.07916666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,Low (baseline)
2025-12,9158.0,10676.0,0.041666666666666664,0.0625,0.08333333333333333,0.08333333333333333,0.08333333333333333,Low (baseline)
