time_window_days,domain,model,metric,mean,std
3,chicago_2025,baseline_persistence,auc,0.8949656918897455,0.0
3,chicago_2025,baseline_persistence,f1,0.6185737976782753,0.0
3,chicago_2025,baseline_persistence,precision,0.6175496688741722,0.0
3,chicago_2025,baseline_persistence,recall,0.6196013289036545,0.0
3,chicago_2025,logistic_regression,auc,0.9322119637512866,0.00025008998136852095
3,chicago_2025,logistic_regression,f1,0.7043343152944052,0.0030374731286277458
3,chicago_2025,logistic_regression,precision,0.601813689620202,0.010532648468342997
3,chicago_2025,logistic_regression,recall,0.849390919158361,0.01663895814099303
3,chicago_2025,lstm,auc,0.895126496278289,0.004602050808737522
3,chicago_2025,lstm,f1,0.6257224499285613,0.014751750907852398
3,chicago_2025,lstm,precision,0.5859253005777804,0.005734920136579629
3,chicago_2025,lstm,recall,0.6716500553709857,0.02849858080278577
3,chicago_2025,random_forest,auc,0.9297412180093296,0.00019266896220297125
3,chicago_2025,random_forest,f1,0.6765502987964632,0.006569455875932876
3,chicago_2025,random_forest,precision,0.698977822563745,0.006619958015795699
3,chicago_2025,random_forest,recall,0.655592469545958,0.010807985213700506
3,nibrs,baseline_persistence,auc,0.9987551692918574,0.0
3,nibrs,baseline_persistence,f1,0.9072254966164591,0.0
3,nibrs,baseline_persistence,precision,0.905841325196164,0.0
3,nibrs,baseline_persistence,recall,0.9086139046786182,0.0
3,nibrs,logistic_regression,auc,0.836688464694752,0.05067807254419526
3,nibrs,logistic_regression,f1,0.40419636059737035,0.048316290182967334
3,nibrs,logistic_regression,precision,1.0,0.0
3,nibrs,logistic_regression,recall,0.2540445999125492,0.03753514636118235
3,nibrs,lstm,auc,0.7289976845107757,0.4376811561106242
3,nibrs,lstm,f1,0.13453108863065943,0.1222751110188689
3,nibrs,lstm,precision,0.3814687320711417,0.46539188223669187
3,nibrs,lstm,recall,0.08730505757178249,0.0759115503060544
3,nibrs,random_forest,auc,0.997714804794632,0.0010815812826478737
3,nibrs,random_forest,f1,0.9276421471835362,0.0023568788007195095
3,nibrs,random_forest,precision,0.9725444105456035,0.004484513849352589
3,nibrs,random_forest,recall,0.8867512024486226,0.007623784772261745
7,chicago_2025,baseline_persistence,auc,0.9369264744301485,0.0
7,chicago_2025,baseline_persistence,f1,0.6938775510204082,0.0
7,chicago_2025,baseline_persistence,precision,0.6910569105691057,0.0
7,chicago_2025,baseline_persistence,recall,0.6967213114754097,0.0
7,chicago_2025,logistic_regression,auc,0.9543560729758562,0.00020679164753539077
7,chicago_2025,logistic_regression,f1,0.7559309078148146,0.009518126079534865
7,chicago_2025,logistic_regression,precision,0.6480687545227605,0.015089118387659434
7,chicago_2025,logistic_regression,recall,0.907103825136612,0.0023661896278262735
7,chicago_2025,lstm,auc,0.926907805934731,0.009836743537225282
7,chicago_2025,lstm,f1,0.6931388603566164,0.022867986310830212
7,chicago_2025,lstm,precision,0.6104413985586206,0.023964717383955548
7,chicago_2025,lstm,recall,0.8019125683060109,0.022572010439697147
7,chicago_2025,random_forest,auc,0.9521395293144362,0.0007128301041433455
7,chicago_2025,random_forest,f1,0.7609945205436112,0.007447782280133195
7,chicago_2025,random_forest,precision,0.7344233249564535,0.003656571242158109
7,chicago_2025,random_forest,recall,0.7896174863387978,0.013174386285509515
7,nibrs,baseline_persistence,auc,0.998285336394328,0.0
7,nibrs,baseline_persistence,f1,0.9420209828823854,0.0
7,nibrs,baseline_persistence,precision,0.9332603938730853,0.0
7,nibrs,baseline_persistence,recall,0.9509476031215162,0.0
7,nibrs,logistic_regression,auc,0.8924460164418395,0.0395186763853679
7,nibrs,logistic_regression,f1,0.5611965915719974,0.07539749114270543
7,nibrs,logistic_regression,precision,0.993055602530483,0.0042116657097247285
7,nibrs,logistic_regression,recall,0.39390561129691565,0.07508618456811421
7,nibrs,lstm,auc,0.922603394778894,0.05517518318892256
7,nibrs,lstm,f1,0.3508427474629494,0.0952009974829914
7,nibrs,lstm,precision,0.44607102013443906,0.426772257929607
7,nibrs,lstm,recall,0.5046451133407656,0.190189433494373
7,nibrs,random_forest,auc,0.9968248518466455,0.00011948604792049861
7,nibrs,random_forest,f1,0.9507983187619168,0.0018447607480334216
7,nibrs,random_forest,precision,0.957439244597611,0.004483186269129459
7,nibrs,random_forest,recall,0.9442586399108138,0.0011148272017837968
