chicago_raw_type,crime_group
ARSON,
ASSAULT,assault_battery
BATTERY,assault_battery
BURGLARY,burglary
CONCEALED CARRY LICENSE VIOLATION,
CRIM SEXUAL ASSAULT,
CRIMINAL DAMAGE,
CRIMINAL SEXUAL ASSAULT,
CRIMINAL TRESPASS,
DECEPTIVE PRACTICE,
GAMBLING,
HOMICIDE,
HUMAN TRAFFICKING,
INTERFERENCE WITH PUBLIC OFFICER,
INTIMIDATION,assault_battery
KIDNAPPING,
LIQUOR LAW VIOLATION,
MOTOR VEHICLE THEFT,motor_vehicle_theft
NARCOTICS,drug_narcotics
NON-CRIMINAL,
OBSCENITY,
OFFENSE INVOLVING CHILDREN,
OTHER NARCOTIC VIOLATION,drug_narcotics
OTHER OFFENSE,
PROSTITUTION,
PUBLIC INDECENCY,
PUBLIC PEACE VIOLATION,
RITUALISM,
ROBBERY,robbery
SEX OFFENSE,
STALKING,
THEFT,theft_larceny
WEAPONS VIOLATION,
